,,,,,,,,,,,
,,,,,,,,,,,
CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,
BASE: Noviembre de 1982 = 100 ,,,,,,,,,,,
GOBIERNOS,MESES,AÑOS,COSTO CANASTA BÁSICA (dólares),INGRESO FAMILIAR MENSUAL*** (dólares),RESTRICCIÓN / EXCEDENTE EN EL CONSUMO (costo-ingreso) (dólares),RESTRICCIÓN / EXCENDENTE (porcentual),,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Roldós-Hurtado,Noviembre,1982,401.57,401.58,-0.02,0.0%,,,,,
,Julio,1983,358.84,301.57,57.28,16.0%,,,,,
León Febres Cordero,Enero,1984,197.30,174.36,22.94,11.6%,,,,,
,Marzo,1985,189.90,172.36,17.54,9.2%,,,,,
,Enero,1986,203.58,186.99,16.59,8.1%,,,,,
,Agosto,1986,183.53,170.32,13.21,7.2%,,,,,
,Julio,1987,195.40,170.63,24.77,12.7%,,,,,
,Junio,1988,128.26,91.12,37.14,29.0%,,,,,
Rodrigo Borja,Septiembre,1988,135.56,91.04,44.52,32.8%,,,,,
,Mayo,1989,196.65,109.18,87.47,44.5%,,,,,
,Noviembre,1989,188.37,104.89,83.48,44.3%,,,,,
,Octubre,1990,200.61,94.41,106.20,52.9%,,,,,
,Noviembre,1990,205.12,93.32,111.80,54.5%,,,,,
,Diciembre,1990,209.62,92.93,116.69,55.7%,,,,,
,Enero   ,1991,206.80,100.78,106.01,51.3%,,,,,
,Febrero   ,1991,205.90,118.17,87.73,42.6%,,,,,
,Marzo   ,1991,205.74,92.96,112.78,54.8%,,,,,
,Abril,1991,207.09,90.91,116.18,56.1%,,,,,
,Mayo,1991,200.89,84.70,116.19,57.8%,,,,,
,Junio,1991,205.77,84.12,121.65,59.1%,,,,,
,Julio,1991,210.88,84.17,126.72,60.1%,,,,,
,Agosto,1991,217.57,84.75,132.82,61.0%,,,,,
,Septiembre,1991,222.79,83.70,139.09,62.4%,,,,,
,Octubre,1991,222.29,91.05,131.24,59.0%,,,,,
,Noviembre,1991,221.00,88.43,132.57,60.0%,,,,,
,Diciembre,1991,214.90,82.24,132.66,61.7%,,,,,
,Enero,1992,216.95,90.65,126.29,58.2%,,,,,
,Febrero,1992,223.05,90.02,133.03,59.6%,,,,,
,Marzo,1992,230.67,90.25,140.42,60.9%,,,,,
,Abril,1992,235.29,87.46,147.83,62.8%,,,,,
,Mayo,1992,232.91,83.36,149.55,64.2%,,,,,
,Junio,1992,235.46,81.28,154.19,65.5%,,,,,
,Julio,1992,236.66,79.14,157.52,66.6%,,,,,
Sixto Durán Ballén,Agosto,1992,223.95,73.52,150.43,67.2%,,,,,
,Junio,1993,292.22,129.24,162.98,55.8%,,,,,
,Julio,1993,294.14,145.93,148.21,50.4%,,,,,
,Agosto,1993,295.73,144.48,151.25,51.1%,,,,,
,Septiembre,1993,301.73,144.95,156.79,52.0%,,,,,
,Octubre,1993,309.87,147.64,162.23,52.4%,,,,,
,Noviembre,1993,310.00,145.44,164.57,53.1%,,,,,
,Diciembre,1993,306.71,142.78,163.93,53.4%,,,,,
