,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.72,819.77,877.33,-57.56,-7.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.26,264.24,282.04,-17.79,-2.17,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,0.01,51.88,54.15,-2.27,-0.28,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.32,46.56,44.54,2.02,0.25,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-0.69,12.18,13.27,-1.08,-0.13,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-0.94,12.13,13.17,-1.04,-0.13,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.80,40.12,40.80,-0.68,-0.08,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-0.99,16.27,21.18,-4.92,-0.60,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,5.44,18.59,21.89,-3.30,-0.40,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.39,5.79,9.85,-4.06,-0.49,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,1.85,17.11,18.55,-1.45,-0.18,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.83,11.99,12.47,-0.48,-0.06,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.22,8.56,8.44,0.11,0.01,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-3.90,1.34,1.71,-0.37,-0.05,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.25,21.72,21.99,-0.27,-0.03,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
