,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.01,821.60,877.34,-55.74,-6.78,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.10,272.77,286.13,-13.35,-1.63,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.96,59.47,59.68,-0.21,-0.03,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.00,47.48,48.05,-0.57,-0.07,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-2.64,13.64,14.48,-0.85,-0.10,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-0.93,12.45,12.78,-0.32,-0.04,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.76,39.58,40.22,-0.65,-0.08,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,3.80,14.67,18.68,-4.02,-0.49,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,1.35,16.77,16.95,-0.18,-0.02,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.00,5.80,8.53,-2.73,-0.33,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,5.52,18.24,21.27,-3.03,-0.37,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.16,14.33,14.37,-0.04,-0.01,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",-0.76,8.40,8.83,-0.43,-0.05,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,0.00,1.72,1.95,-0.23,-0.03,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,20.23,20.33,-0.10,-0.01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
