,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,1.27,574.55,877.33,-302.77,-52.70,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.46,243.49,311.18,-67.68,-11.78,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.03,40.98,42.43,-1.45,-0.25,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.32,43.22,46.51,-3.29,-0.57,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-0.64,9.25,15.19,-5.94,-1.03,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-1.08,11.29,13.26,-1.97,-0.34,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.60,32.44,35.28,-2.83,-0.49,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-0.20,16.64,37.29,-20.65,-3.59,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,5.56,15.96,16.85,-0.89,-0.15,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.28,5.89,19.21,-13.31,-2.32,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,3.12,18.28,30.43,-12.15,-2.12,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.84,8.00,8.36,-0.36,-0.06,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.48,7.91,11.24,-3.33,-0.58,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-3.90,1.84,2.78,-0.94,-0.16,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.30,31.78,32.36,-0.57,-0.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,0.55,123.37,140.95,-17.58,-3.06,,,,,,,,,,,,,,,,,,,
17,ALQUILER,0.72,81.08,81.08,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.03,20.72,20.72,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,0.61,19.83,23.37,-3.54,-0.62,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,-1.75,1.74,15.78,-14.04,-2.44,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,-0.05,47.33,240.25,-192.92,-33.58,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",-1.26,3.54,11.11,-7.57,-1.32,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,0.32,22.24,80.02,-57.78,-10.06,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,-0.18,18.70,132.78,-114.07,-19.85,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,-0.55,2.85,16.34,-13.50,-2.35,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,3.49,160.36,184.95,-24.59,-4.28,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,0.63,31.21,41.04,-9.83,-1.71,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,0.27,18.27,27.08,-8.81,-1.53,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",23.75,26.21,27.50,-1.29,-0.22,,,,,,,,,,,,,,,,,,,
30,Tabaco,0.14,15.38,16.41,-1.03,-0.18,,,,,,,,,,,,,,,,,,,
31,Educación,0.42,27.96,31.59,-3.64,-0.63,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,41.33,41.33,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
