,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MACHALA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.78,585.40,877.33,-291.93,-49.87,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,-0.64,235.61,300.87,-65.26,-11.15,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.61,39.03,40.43,-1.40,-0.24,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,-0.53,46.11,49.28,-3.17,-0.54,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-2.19,8.05,13.77,-5.72,-0.98,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-0.27,10.87,12.77,-1.90,-0.32,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.61,31.63,34.36,-2.73,-0.47,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-2.26,15.35,35.26,-19.91,-3.40,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,-3.40,15.55,16.40,-0.86,-0.15,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,4.17,6.39,19.23,-12.84,-2.19,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,1.08,14.39,26.11,-11.72,-2.00,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.15,8.31,8.65,-0.34,-0.06,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.11,7.95,11.16,-3.21,-0.55,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-7.27,1.63,2.54,-0.91,-0.16,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,30.36,30.91,-0.55,-0.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,0.02,135.08,152.03,-16.95,-2.89,,,,,,,,,,,,,,,,,,,
17,ALQUILER,0.00,89.60,89.60,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.00,22.12,22.12,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,0.13,21.38,24.79,-3.41,-0.58,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,0.00,1.97,15.51,-13.54,-2.31,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,-1.40,49.52,235.53,-186.01,-31.77,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",0.00,3.34,10.63,-7.29,-1.25,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,-2.20,23.13,78.84,-55.71,-9.52,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,0.00,20.31,130.30,-109.99,-18.79,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,-6.25,2.74,15.76,-13.02,-2.22,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,4.24,165.19,188.90,-23.71,-4.05,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,0.32,33.45,42.92,-9.47,-1.62,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,-1.57,17.07,25.56,-8.49,-1.45,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",48.46,21.08,22.33,-1.24,-0.21,,,,,,,,,,,,,,,,,,,
30,Tabaco,0.00,16.47,17.46,-1.00,-0.17,,,,,,,,,,,,,,,,,,,
31,Educación,0.00,28.17,31.68,-3.51,-0.60,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,48.94,48.94,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
