Año,Mes,Grupo,Subgrupo,Indicador_grup,Indicador
2006,Enero,Alimentos y No alimentos,Alimentos,60.91,Índice
2006,Febrero,Alimentos y No alimentos,Alimentos,62.03,Índice
2006,Febrero,Alimentos y No alimentos,Alimentos,1.84,Variación mensual
2006,Marzo,Alimentos y No alimentos,Alimentos,63.1,Índice
2006,Marzo,Alimentos y No alimentos,Alimentos,1.73,Variación mensual
2006,Abril,Alimentos y No alimentos,Alimentos,62.45,Índice
2006,Abril,Alimentos y No alimentos,Alimentos,-1.03,Variación mensual
2006,Mayo,Alimentos y No alimentos,Alimentos,61.91,Índice
2006,Mayo,Alimentos y No alimentos,Alimentos,-0.88,Variación mensual
2006,Junio,Alimentos y No alimentos,Alimentos,61.36,Índice
2006,Junio,Alimentos y No alimentos,Alimentos,-0.88,Variación mensual
2006,Julio,Alimentos y No alimentos,Alimentos,61.24,Índice
2006,Julio,Alimentos y No alimentos,Alimentos,-0.2,Variación mensual
2006,Agosto,Alimentos y No alimentos,Alimentos,61.61,Índice
2006,Agosto,Alimentos y No alimentos,Alimentos,0.61,Variación mensual
2006,Septiembre,Alimentos y No alimentos,Alimentos,62.21,Índice
2006,Septiembre,Alimentos y No alimentos,Alimentos,0.97,Variación mensual
2006,Octubre,Alimentos y No alimentos,Alimentos,62.66,Índice
2006,Octubre,Alimentos y No alimentos,Alimentos,0.73,Variación mensual
2006,Noviembre,Alimentos y No alimentos,Alimentos,63.08,Índice
2006,Noviembre,Alimentos y No alimentos,Alimentos,0.67,Variación mensual
2006,Diciembre,Alimentos y No alimentos,Alimentos,62.86,Índice
2006,Diciembre,Alimentos y No alimentos,Alimentos,-0.34,Variación mensual
2007,Enero,Alimentos y No alimentos,Alimentos,63.1,Índice
2007,Enero,Alimentos y No alimentos,Alimentos,0.37,Variación mensual
2007,Enero,Alimentos y No alimentos,Alimentos,3.6,Variación anual
2007,Enero,Alimentos y No alimentos,Alimentos,0.37,Variación acumulada
2007,Febrero,Alimentos y No alimentos,Alimentos,63.16,Índice
2007,Febrero,Alimentos y No alimentos,Alimentos,0.11,Variación mensual
2007,Febrero,Alimentos y No alimentos,Alimentos,1.83,Variación anual
2007,Febrero,Alimentos y No alimentos,Alimentos,0.48,Variación acumulada
2007,Marzo,Alimentos y No alimentos,Alimentos,63.39,Índice
2007,Marzo,Alimentos y No alimentos,Alimentos,0.35,Variación mensual
2007,Marzo,Alimentos y No alimentos,Alimentos,0.45,Variación anual
2007,Marzo,Alimentos y No alimentos,Alimentos,0.83,Variación acumulada
2007,Abril,Alimentos y No alimentos,Alimentos,63.2,Índice
2007,Abril,Alimentos y No alimentos,Alimentos,-0.3,Variación mensual
2007,Abril,Alimentos y No alimentos,Alimentos,1.19,Variación anual
2007,Abril,Alimentos y No alimentos,Alimentos,0.53,Variación acumulada
2007,Mayo,Alimentos y No alimentos,Alimentos,62.93,Índice
2007,Mayo,Alimentos y No alimentos,Alimentos,-0.42,Variación mensual
2007,Mayo,Alimentos y No alimentos,Alimentos,1.65,Variación anual
2007,Mayo,Alimentos y No alimentos,Alimentos,0.1,Variación acumulada
2007,Junio,Alimentos y No alimentos,Alimentos,63.71,Índice
2007,Junio,Alimentos y No alimentos,Alimentos,1.24,Variación mensual
2007,Junio,Alimentos y No alimentos,Alimentos,3.83,Variación anual
2007,Junio,Alimentos y No alimentos,Alimentos,1.35,Variación acumulada
2007,Julio,Alimentos y No alimentos,Alimentos,64.53,Índice
2007,Julio,Alimentos y No alimentos,Alimentos,1.29,Variación mensual
2007,Julio,Alimentos y No alimentos,Alimentos,5.38,Variación anual
2007,Julio,Alimentos y No alimentos,Alimentos,2.65,Variación acumulada
2007,Agosto,Alimentos y No alimentos,Alimentos,64.17,Índice
2007,Agosto,Alimentos y No alimentos,Alimentos,-0.55,Variación mensual
2007,Agosto,Alimentos y No alimentos,Alimentos,4.17,Variación anual
2007,Agosto,Alimentos y No alimentos,Alimentos,2.09,Variación acumulada
2007,Septiembre,Alimentos y No alimentos,Alimentos,64.65,Índice
2007,Septiembre,Alimentos y No alimentos,Alimentos,0.75,Variación mensual
2007,Septiembre,Alimentos y No alimentos,Alimentos,3.94,Variación anual
2007,Septiembre,Alimentos y No alimentos,Alimentos,2.85,Variación acumulada
2007,Octubre,Alimentos y No alimentos,Alimentos,64.83,Índice
2007,Octubre,Alimentos y No alimentos,Alimentos,0.28,Variación mensual
2007,Octubre,Alimentos y No alimentos,Alimentos,3.47,Variación anual
2007,Octubre,Alimentos y No alimentos,Alimentos,3.13,Variación acumulada
2007,Noviembre,Alimentos y No alimentos,Alimentos,65.53,Índice
2007,Noviembre,Alimentos y No alimentos,Alimentos,1.08,Variación mensual
2007,Noviembre,Alimentos y No alimentos,Alimentos,3.89,Variación anual
2007,Noviembre,Alimentos y No alimentos,Alimentos,4.25,Variación acumulada
2007,Diciembre,Alimentos y No alimentos,Alimentos,66.46,Índice
2007,Diciembre,Alimentos y No alimentos,Alimentos,1.41,Variación mensual
2007,Diciembre,Alimentos y No alimentos,Alimentos,5.72,Variación anual
2007,Diciembre,Alimentos y No alimentos,Alimentos,5.72,Variación acumulada
2008,Enero,Alimentos y No alimentos,Alimentos,67.95,Índice
2008,Enero,Alimentos y No alimentos,Alimentos,2.24,Variación mensual
2008,Enero,Alimentos y No alimentos,Alimentos,7.69,Variación anual
2008,Enero,Alimentos y No alimentos,Alimentos,2.24,Variación acumulada
2008,Febrero,Alimentos y No alimentos,Alimentos,69.31,Índice
2008,Febrero,Alimentos y No alimentos,Alimentos,2.01,Variación mensual
2008,Febrero,Alimentos y No alimentos,Alimentos,9.73,Variación anual
2008,Febrero,Alimentos y No alimentos,Alimentos,4.29,Variación acumulada
2008,Marzo,Alimentos y No alimentos,Alimentos,71.82,Índice
2008,Marzo,Alimentos y No alimentos,Alimentos,3.63,Variación mensual
2008,Marzo,Alimentos y No alimentos,Alimentos,13.31,Variación anual
2008,Marzo,Alimentos y No alimentos,Alimentos,8.08,Variación acumulada
2008,Abril,Alimentos y No alimentos,Alimentos,73.92,Índice
2008,Abril,Alimentos y No alimentos,Alimentos,2.92,Variación mensual
2008,Abril,Alimentos y No alimentos,Alimentos,16.97,Variación anual
2008,Abril,Alimentos y No alimentos,Alimentos,11.23,Variación acumulada
2008,Mayo,Alimentos y No alimentos,Alimentos,75.57,Índice
2008,Mayo,Alimentos y No alimentos,Alimentos,2.23,Variación mensual
2008,Mayo,Alimentos y No alimentos,Alimentos,20.09,Variación anual
2008,Mayo,Alimentos y No alimentos,Alimentos,13.71,Variación acumulada
2008,Junio,Alimentos y No alimentos,Alimentos,76.66,Índice
2008,Junio,Alimentos y No alimentos,Alimentos,1.44,Variación mensual
2008,Junio,Alimentos y No alimentos,Alimentos,20.32,Variación anual
2008,Junio,Alimentos y No alimentos,Alimentos,15.34,Variación acumulada
2008,Julio,Alimentos y No alimentos,Alimentos,77.24,Índice
2008,Julio,Alimentos y No alimentos,Alimentos,0.76,Variación mensual
2008,Julio,Alimentos y No alimentos,Alimentos,19.69,Variación anual
2008,Julio,Alimentos y No alimentos,Alimentos,16.22,Variación acumulada
2008,Agosto,Alimentos y No alimentos,Alimentos,77.36,Índice
2008,Agosto,Alimentos y No alimentos,Alimentos,0.16,Variación mensual
2008,Agosto,Alimentos y No alimentos,Alimentos,20.55,Variación anual
2008,Agosto,Alimentos y No alimentos,Alimentos,16.41,Variación acumulada
2008,Septiembre,Alimentos y No alimentos,Alimentos,77.9,Índice
2008,Septiembre,Alimentos y No alimentos,Alimentos,0.7,Variación mensual
2008,Septiembre,Alimentos y No alimentos,Alimentos,20.5,Variación anual
2008,Septiembre,Alimentos y No alimentos,Alimentos,17.22,Variación acumulada
2008,Octubre,Alimentos y No alimentos,Alimentos,77.62,Índice
2008,Octubre,Alimentos y No alimentos,Alimentos,-0.37,Variación mensual
2008,Octubre,Alimentos y No alimentos,Alimentos,19.72,Variación anual
2008,Octubre,Alimentos y No alimentos,Alimentos,16.79,Variación acumulada
2008,Noviembre,Alimentos y No alimentos,Alimentos,76.82,Índice
2008,Noviembre,Alimentos y No alimentos,Alimentos,-1.03,Variación mensual
2008,Noviembre,Alimentos y No alimentos,Alimentos,17.22,Variación anual
2008,Noviembre,Alimentos y No alimentos,Alimentos,15.59,Variación acumulada
2008,Diciembre,Alimentos y No alimentos,Alimentos,77.09,Índice
2008,Diciembre,Alimentos y No alimentos,Alimentos,0.35,Variación mensual
2008,Diciembre,Alimentos y No alimentos,Alimentos,16,Variación anual
2008,Diciembre,Alimentos y No alimentos,Alimentos,16,Variación acumulada
2009,Enero,Alimentos y No alimentos,Alimentos,78.09,Índice
2009,Enero,Alimentos y No alimentos,Alimentos,1.3,Variación mensual
2009,Enero,Alimentos y No alimentos,Alimentos,14.93,Variación anual
2009,Enero,Alimentos y No alimentos,Alimentos,1.3,Variación acumulada
2009,Febrero,Alimentos y No alimentos,Alimentos,78.37,Índice
2009,Febrero,Alimentos y No alimentos,Alimentos,0.36,Variación mensual
2009,Febrero,Alimentos y No alimentos,Alimentos,13.07,Variación anual
2009,Febrero,Alimentos y No alimentos,Alimentos,1.66,Variación acumulada
2009,Marzo,Alimentos y No alimentos,Alimentos,79.73,Índice
2009,Marzo,Alimentos y No alimentos,Alimentos,1.74,Variación mensual
