Año,Mes,'Series_IPC'[Ciudad],Nivel,Cód. CCIF,Descripción CCIF,'Indicadores_cuboIPC'[Indicador],'Filtro Indicador'[Indicador]
2005,Enero,Nacional,Clase,111,Pan y cereales (ND),51.48,Índice
2005,Enero,Nacional,Clase,112,Carne (ND),56.89,Índice
2005,Enero,Nacional,Clase,113,Pescado (ND),55.78,Índice
2005,Enero,Nacional,Clase,114,"Leche, queso y huevos (ND)",62.85,Índice
2005,Enero,Nacional,Clase,115,Aceites y grasas (ND),51.42,Índice
2005,Enero,Nacional,Clase,116,Frutas (ND),59.59,Índice
2005,Enero,Nacional,Clase,117,Legumbres-Hortalizas (ND),58.94,Índice
2005,Enero,Nacional,Clase,118,"Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)",55.48,Índice
2005,Enero,Nacional,Clase,119,Productos alimenticios n.e.p. (ND),60.9,Índice
2005,Enero,Nacional,Clase,121,"Café, té y cacao (ND)",43.77,Índice
2005,Enero,Nacional,Clase,122,"Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)",63.54,Índice
2005,Enero,Nacional,División,1,Alimentos y bebidas no alcohólicas,57.23,Índice
2005,Enero,Nacional,Grupo,11,Alimentos,57.03,Índice
2005,Enero,Nacional,Grupo,12,Bebidas no alcohólicas,59.91,Índice
2005,Febrero,Nacional,Clase,111,Pan y cereales (ND),52.33,Índice
2005,Febrero,Nacional,Clase,111,Pan y cereales (ND),1.65,Variación mensual
2005,Febrero,Nacional,Clase,112,Carne (ND),57.16,Índice
2005,Febrero,Nacional,Clase,112,Carne (ND),0.46,Variación mensual
2005,Febrero,Nacional,Clase,113,Pescado (ND),56.22,Índice
2005,Febrero,Nacional,Clase,113,Pescado (ND),0.8,Variación mensual
2005,Febrero,Nacional,Clase,114,"Leche, queso y huevos (ND)",62.92,Índice
2005,Febrero,Nacional,Clase,114,"Leche, queso y huevos (ND)",0.11,Variación mensual
2005,Febrero,Nacional,Clase,115,Aceites y grasas (ND),51.43,Índice
2005,Febrero,Nacional,Clase,115,Aceites y grasas (ND),0.01,Variación mensual
2005,Febrero,Nacional,Clase,116,Frutas (ND),60.56,Índice
2005,Febrero,Nacional,Clase,116,Frutas (ND),1.62,Variación mensual
2005,Febrero,Nacional,Clase,117,Legumbres-Hortalizas (ND),59.25,Índice
2005,Febrero,Nacional,Clase,117,Legumbres-Hortalizas (ND),0.52,Variación mensual
2005,Febrero,Nacional,Clase,118,"Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)",55.48,Índice
2005,Febrero,Nacional,Clase,118,"Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)",0,Variación mensual
2005,Febrero,Nacional,Clase,119,Productos alimenticios n.e.p. (ND),61.3,Índice
2005,Febrero,Nacional,Clase,119,Productos alimenticios n.e.p. (ND),0.64,Variación mensual
2005,Febrero,Nacional,Clase,121,"Café, té y cacao (ND)",43.25,Índice
2005,Febrero,Nacional,Clase,121,"Café, té y cacao (ND)",-1.18,Variación mensual
2005,Febrero,Nacional,Clase,122,"Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)",63.65,Índice
2005,Febrero,Nacional,Clase,122,"Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)",0.18,Variación mensual
2005,Febrero,Nacional,División,1,Alimentos y bebidas no alcohólicas,57.63,Índice
2005,Febrero,Nacional,División,1,Alimentos y bebidas no alcohólicas,0.7,Variación mensual
2005,Febrero,Nacional,Grupo,11,Alimentos,57.46,Índice
2005,Febrero,Nacional,Grupo,11,Alimentos,0.75,Variación mensual
2005,Febrero,Nacional,Grupo,12,Bebidas no alcohólicas,59.9,Índice
2005,Febrero,Nacional,Grupo,12,Bebidas no alcohólicas,-0.03,Variación mensual
2005,Marzo,Nacional,Clase,111,Pan y cereales (ND),52.82,Índice
2005,Marzo,Nacional,Clase,111,Pan y cereales (ND),0.94,Variación mensual
2005,Marzo,Nacional,Clase,112,Carne (ND),57.63,Índice
2005,Marzo,Nacional,Clase,112,Carne (ND),0.83,Variación mensual
2005,Marzo,Nacional,Clase,113,Pescado (ND),57.66,Índice
2005,Marzo,Nacional,Clase,113,Pescado (ND),2.56,Variación mensual
2005,Marzo,Nacional,Clase,114,"Leche, queso y huevos (ND)",62.75,Índice
2005,Marzo,Nacional,Clase,114,"Leche, queso y huevos (ND)",-0.26,Variación mensual
2005,Marzo,Nacional,Clase,115,Aceites y grasas (ND),51.31,Índice
2005,Marzo,Nacional,Clase,115,Aceites y grasas (ND),-0.23,Variación mensual
2005,Marzo,Nacional,Clase,116,Frutas (ND),60.87,Índice
2005,Marzo,Nacional,Clase,116,Frutas (ND),0.52,Variación mensual
2005,Marzo,Nacional,Clase,117,Legumbres-Hortalizas (ND),60.49,Índice
2005,Marzo,Nacional,Clase,117,Legumbres-Hortalizas (ND),2.1,Variación mensual
2005,Marzo,Nacional,Clase,118,"Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)",55.12,Índice
2005,Marzo,Nacional,Clase,118,"Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)",-0.65,Variación mensual
2005,Marzo,Nacional,Clase,119,Productos alimenticios n.e.p. (ND),60.25,Índice
2005,Marzo,Nacional,Clase,119,Productos alimenticios n.e.p. (ND),-1.7,Variación mensual
2005,Marzo,Nacional,Clase,121,"Café, té y cacao (ND)",43.34,Índice
2005,Marzo,Nacional,Clase,121,"Café, té y cacao (ND)",0.21,Variación mensual
2005,Marzo,Nacional,Clase,122,"Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)",64.1,Índice
2005,Marzo,Nacional,Clase,122,"Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)",0.71,Variación mensual
2005,Marzo,Nacional,División,1,Alimentos y bebidas no alcohólicas,58.08,Índice
2005,Marzo,Nacional,División,1,Alimentos y bebidas no alcohólicas,0.79,Variación mensual
