,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAYAQUIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,1.24,836.17,877.33,-41.17,-4.92,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.50,258.43,268.29,-9.86,-1.18,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.26,44.76,44.91,-0.16,-0.02,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.46,53.59,54.01,-0.42,-0.05,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-3.30,9.99,10.61,-0.63,-0.07,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-3.45,12.06,12.30,-0.24,-0.03,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-1.26,41.86,42.34,-0.48,-0.06,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-2.11,15.80,18.77,-2.97,-0.35,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,16.29,16.86,16.99,-0.13,-0.02,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,-0.59,5.05,7.06,-2.01,-0.24,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,4.68,15.31,17.55,-2.23,-0.27,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.21,10.88,10.91,-0.03,0.00,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",-0.02,8.77,9.08,-0.32,-0.04,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-6.30,1.26,1.43,-0.17,-0.02,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,-0.47,22.24,22.32,-0.07,-0.01,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
