,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHALA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.11,796.30,877.34,-81.05,-10.18,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,-0.87,255.34,274.75,-19.41,-2.44,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.58,49.77,50.08,-0.31,-0.04,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,-0.52,49.74,50.57,-0.83,-0.10,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-2.45,10.37,11.60,-1.23,-0.15,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,0.03,11.72,12.19,-0.47,-0.06,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.74,39.23,40.17,-0.94,-0.12,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-3.30,14.72,20.56,-5.84,-0.73,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,-3.67,18.23,18.48,-0.26,-0.03,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,3.73,6.26,10.22,-3.96,-0.50,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,-0.54,12.39,16.79,-4.40,-0.55,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.12,12.45,12.51,-0.06,-0.01,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.08,8.60,9.23,-0.62,-0.08,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-7.27,1.18,1.52,-0.34,-0.04,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,20.67,20.81,-0.15,-0.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
