,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en noviembre 1982 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 BASE: Noviembre 1982 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,1.15,790.70,877.34,-86.64,-10.96,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,-0.08,260.13,280.89,-20.76,-2.62,,,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-1.03,53.45,53.78,-0.33,-0.04,,,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.00,46.15,47.04,-0.88,-0.11,,,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,4.16,9.12,10.44,-1.32,-0.17,,,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,3.96,12.48,12.98,-0.50,-0.06,,,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.60,42.28,43.29,-1.00,-0.13,,,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-1.62,15.44,21.69,-6.25,-0.79,,,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,6.42,16.43,16.71,-0.28,-0.04,,,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,-4.39,6.13,10.36,-4.24,-0.54,,,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,-2.67,15.36,20.07,-4.70,-0.59,,,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-1.89,10.97,11.04,-0.07,-0.01,,,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.38,8.60,9.27,-0.67,-0.08,,,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-6.45,1.27,1.63,-0.36,-0.05,,,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,22.45,22.60,-0.16,-0.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
