,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GUAYAQUIL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,2.47,600.08,877.33,-277.24,-46.20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.44,240.25,302.23,-61.98,-10.33,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.27,35.42,36.75,-1.33,-0.22,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.44,49.70,52.71,-3.01,-0.50,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-2.76,7.84,13.28,-5.44,-0.91,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-3.61,11.20,13.01,-1.81,-0.30,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-1.20,34.15,36.74,-2.59,-0.43,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-1.57,16.40,35.31,-18.91,-3.15,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,14.77,14.54,15.35,-0.81,-0.14,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,-0.89,5.29,17.48,-12.19,-2.03,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,3.96,16.32,27.44,-11.13,-1.85,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.26,7.27,7.60,-0.33,-0.05,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",-0.01,8.08,11.13,-3.05,-0.51,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-6.30,1.73,2.59,-0.86,-0.14,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,-0.19,32.31,32.84,-0.53,-0.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,0.11,137.89,153.99,-16.09,-2.68,,,,,,,,,,,,,,,,,,,
17,ALQUILER,0.00,97.21,97.21,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.00,15.79,15.79,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,0.63,22.90,26.14,-3.24,-0.54,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,0.07,1.98,14.83,-12.85,-2.14,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,1.08,46.68,223.33,-176.65,-29.44,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",0.00,3.94,10.87,-6.93,-1.15,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,0.85,22.08,74.99,-52.91,-8.82,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,1.64,18.02,122.47,-104.45,-17.41,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,0.96,2.63,14.99,-12.36,-2.06,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,7.84,175.26,197.78,-22.52,-3.75,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,-2.12,29.60,38.60,-9.00,-1.50,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,0.92,18.70,26.76,-8.07,-1.34,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",69.48,32.23,33.42,-1.18,-0.20,,,,,,,,,,,,,,,,,,,
30,Tabaco,0.00,15.70,16.64,-0.95,-0.16,,,,,,,,,,,,,,,,,,,
31,Educación,0.00,39.22,42.55,-3.33,-0.55,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,39.81,39.81,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
