,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MANTA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.57,631.20,877.33,-246.13,-38.99,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,-1.06,243.52,298.54,-55.02,-8.72,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,-0.93,33.40,34.58,-1.18,-0.19,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,-0.43,42.36,45.03,-2.67,-0.42,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,1.90,11.75,16.57,-4.83,-0.76,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-4.35,10.70,12.30,-1.60,-0.25,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-1.55,33.86,36.16,-2.30,-0.36,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-2.42,18.08,34.86,-16.79,-2.66,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,1.55,18.70,19.42,-0.72,-0.11,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.71,6.56,17.38,-10.82,-1.71,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,-7.14,14.75,24.63,-9.88,-1.57,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-0.09,7.89,8.18,-0.29,-0.05,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",1.23,8.03,10.73,-2.71,-0.43,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-7.13,2.11,2.88,-0.77,-0.12,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,35.34,35.81,-0.47,-0.07,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,3.27,167.49,181.78,-14.29,-2.26,,,,,,,,,,,,,,,,,,,
17,ALQUILER,4.91,117.04,117.04,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.00,21.18,21.18,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,-0.55,27.46,30.34,-2.88,-0.46,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,-1.16,1.81,13.22,-11.41,-1.81,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,-0.56,44.82,201.64,-156.82,-24.85,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",0.00,4.10,10.25,-6.15,-0.97,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,-2.03,21.08,68.05,-46.97,-7.44,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,1.08,17.26,110.00,-92.73,-14.69,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,0.00,2.37,13.34,-10.97,-1.74,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,0.65,175.37,195.36,-19.99,-3.17,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,2.76,34.87,42.86,-7.99,-1.27,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,1.15,19.06,26.23,-7.16,-1.13,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",0.00,16.41,17.46,-1.05,-0.17,,,,,,,,,,,,,,,,,,,
30,Tabaco,-0.16,15.46,16.30,-0.84,-0.13,,,,,,,,,,,,,,,,,,,
31,Educación,0.00,40.61,43.57,-2.96,-0.47,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,48.94,48.94,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
