,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÓN SIERRA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,0.72,566.92,877.33,-310.41,-54.75,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,1.12,250.07,319.47,-69.39,-12.24,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,0.29,45.93,47.41,-1.49,-0.26,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.75,41.76,45.13,-3.37,-0.59,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,0.70,10.30,16.39,-6.09,-1.07,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-1.54,11.49,13.51,-2.02,-0.36,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.37,31.13,34.04,-2.90,-0.51,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,1.26,17.25,38.42,-21.17,-3.73,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,6.28,16.38,17.29,-0.91,-0.16,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.54,6.03,19.68,-13.65,-2.41,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,6.62,21.15,33.61,-12.46,-2.20,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-1.16,8.53,8.90,-0.37,-0.06,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",0.40,7.84,11.25,-3.41,-0.60,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-1.93,1.88,2.85,-0.97,-0.17,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.42,30.40,30.98,-0.59,-0.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,-0.04,113.47,131.49,-18.02,-3.18,,,,,,,,,,,,,,,,,,,
17,ALQUILER,-0.10,72.52,72.52,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.06,21.22,21.22,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,0.40,18.05,21.67,-3.63,-0.64,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,-3.30,1.69,16.08,-14.39,-2.54,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,0.24,50.94,248.72,-197.78,-34.89,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",-2.40,3.68,11.44,-7.76,-1.37,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,1.52,24.01,83.25,-59.24,-10.45,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,-0.72,20.06,137.01,-116.95,-20.63,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,0.00,3.18,17.02,-13.84,-2.44,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,0.81,152.44,177.65,-25.21,-4.45,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,0.43,30.86,40.93,-10.07,-1.78,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,0.33,18.26,27.29,-9.03,-1.59,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",3.08,25.30,26.62,-1.32,-0.23,,,,,,,,,,,,,,,,,,,
30,Tabaco,0.31,14.96,16.02,-1.06,-0.19,,,,,,,,,,,,,,,,,,,
31,Educación,0.95,24.82,28.55,-3.73,-0.66,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,38.24,38.24,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
