,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CUENCA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,2.03,588.32,877.33,-289.00,-49.12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,0.73,242.17,306.78,-64.61,-10.98,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,1.29,42.44,43.83,-1.38,-0.24,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,0.00,42.91,46.05,-3.14,-0.53,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,7.01,8.82,14.49,-5.67,-0.96,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,0.74,11.84,13.73,-1.88,-0.32,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",0.00,30.91,33.62,-2.70,-0.46,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,-4.02,14.50,34.20,-19.71,-3.35,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,3.70,18.60,19.45,-0.85,-0.14,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,1.71,5.41,18.11,-12.71,-2.16,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,3.04,20.60,32.20,-11.60,-1.97,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",-3.34,7.09,7.43,-0.34,-0.06,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",1.22,7.96,11.14,-3.18,-0.54,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-3.25,1.76,2.66,-0.90,-0.15,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,0.00,29.32,29.86,-0.55,-0.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,-0.22,143.37,160.14,-16.78,-2.85,,,,,,,,,,,,,,,,,,,
17,ALQUILER,-0.23,91.51,91.51,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.21,24.99,24.99,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,-0.09,25.32,28.70,-3.38,-0.57,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,-7.78,1.55,14.95,-13.40,-2.28,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,0.32,51.29,235.44,-184.14,-31.30,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",0.00,5.10,12.33,-7.22,-1.23,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,0.72,22.69,77.84,-55.15,-9.37,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,0.00,19.98,128.87,-108.88,-18.51,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,0.00,3.51,16.40,-12.88,-2.19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,7.15,151.50,174.97,-23.48,-3.99,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,1.11,29.83,39.21,-9.38,-1.59,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,-0.16,18.30,26.71,-8.41,-1.43,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",51.51,29.21,30.44,-1.23,-0.21,,,,,,,,,,,,,,,,,,,
30,Tabaco,0.00,15.17,16.15,-0.99,-0.17,,,,,,,,,,,,,,,,,,,
31,Educación,-0.52,22.29,25.76,-3.47,-0.59,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,36.71,36.71,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
