,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
AMBATO,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  CANASTA FAMILIAR VITAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PARA EL ANÁLISIS DE LA RELACIÓN INFLACIÓN - REMUNERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,
"Se considera la estructura fija del gasto en bienes y servicios establecida en enero 2007 para un Hogar tipo de cuatro miembros con 1,60 perceptores de Remuneración básica unificada.",,,,,,,,,,,,,,,,,,,,,,,,,
BASE: Enero 2007  = 100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"No.
Orden",Grupos y Subgrupos de Consumo,Variación Mensual (%),Costo Actual en Dólares,Distribución del ingreso actual**,Restricción / Excedente en el consumo,,,,,,,,,,,,,,,,,,,,
,,,,,En Dólares,% del Costo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,TOTAL,1.17,532.89,877.33,-344.43,-64.63,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALIMENTOS Y BEBIDAS,2.18,246.09,323.09,-77.00,-14.45,,,,,,,,,,,,,,,,,,,
3,Cereales y derivados,2.41,43.29,44.94,-1.65,-0.31,,,,,,,,,,,,,,,,,,,
4,Carne y preparaciones,2.77,38.95,42.70,-3.74,-0.70,,,,,,,,,,,,,,,,,,,
5,Pescados y mariscos,-2.56,11.27,18.02,-6.75,-1.27,,,,,,,,,,,,,,,,,,,
6,Grasas y aceites comestibles,-2.77,11.35,13.59,-2.24,-0.42,,,,,,,,,,,,,,,,,,,
7,"Leche, productos lácteos y huevos",-0.32,31.58,34.80,-3.22,-0.60,,,,,,,,,,,,,,,,,,,
8,Verduras frescas,0.90,21.22,44.71,-23.49,-4.41,,,,,,,,,,,,,,,,,,,
9,Tubérculos y derivados,17.35,16.33,17.34,-1.01,-0.19,,,,,,,,,,,,,,,,,,,
10,Leguminosas y derivados,0.00,5.59,20.74,-15.15,-2.84,,,,,,,,,,,,,,,,,,,
11,Frutas frescas,4.32,19.16,32.98,-13.82,-2.59,,,,,,,,,,,,,,,,,,,
12,"Azúcar, sal y condimentos",0.00,8.32,8.73,-0.41,-0.08,,,,,,,,,,,,,,,,,,,
13,"Café, té y bebidas gaseosas",1.64,7.83,11.62,-3.79,-0.71,,,,,,,,,,,,,,,,,,,
14,Otros productos alimenticios,-5.33,1.67,2.74,-1.07,-0.20,,,,,,,,,,,,,,,,,,,
15,Alim. y beb. consumidas fuera del hogar,1.61,29.53,30.18,-0.65,-0.12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,VIVIENDA,-0.40,97.97,117.97,-20.00,-3.75,,,,,,,,,,,,,,,,,,,
17,ALQUILER,-0.39,61.44,61.44,0.00,0.00,*,,,,,,,,,,,,,,,,,,
18,Alumbrado y combustible,0.00,20.64,20.64,0.00,0.00,*,,,,,,,,,,,,,,,,,,
19,Lavado y mantenimiento,-1.07,14.19,18.22,-4.03,-0.76,,,,,,,,,,,,,,,,,,,
20,Otros artefactos del hogar,0.00,1.70,17.67,-15.97,-3.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,INDUMENTARIA,1.10,43.50,262.97,-219.46,-41.18,,,,,,,,,,,,,,,,,,,
22,"Telas, hechuras y accesorios",-1.49,2.81,11.42,-8.61,-1.62,,,,,,,,,,,,,,,,,,,
23,Ropa confeccionada hombre,1.96,21.21,86.93,-65.73,-12.33,,,,,,,,,,,,,,,,,,,
24,Ropa confeccionada mujer,0.66,16.62,146.39,-129.77,-24.35,,,,,,,,,,,,,,,,,,,
25,Servicio de limpieza,0.00,2.87,18.23,-15.36,-2.88,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,MISCELANEOS,0.59,145.33,173.31,-27.98,-5.25,,,,,,,,,,,,,,,,,,,
27,Cuidado de la salud,3.01,29.13,40.30,-11.18,-2.10,,,,,,,,,,,,,,,,,,,
28,Cuidado y artículos personales,0.90,18.37,28.39,-10.02,-1.88,,,,,,,,,,,,,,,,,,,
29,"Recreo, material de lectura",-4.65,24.13,25.60,-1.47,-0.28,,,,,,,,,,,,,,,,,,,
30,Tabaco,1.24,15.28,16.46,-1.17,-0.22,,,,,,,,,,,,,,,,,,,
31,Educación,3.95,21.71,25.85,-4.14,-0.78,,,,,,,,,,,,,,,,,,,
32,Transporte,0.00,36.71,36.71,0.00,0.00,*,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,
Alquiler corresponde a una pieza,,,,,,,,,,,,,,,,,,,,,,,,,
"*  La restricción en el consumo no afecta a los artículos:  sal, alquiler, energía eléctrica, gas, agua, matrícula secundaria y bus urbano.",,,,,,,,,,,,,,,,,,,,,,,,,
** El cálculo del Ingreso Familiar Mensual del hogar tipo no incluye los fondos de reserva mensualizados. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Canasta Familiar Vital,,,,,,,,,,,,,,,,,,,,,,,,,
