date,ipc_alimentos_index,aceites_y_grasas,aguas_minerales_refrescos_jugos_de_frutas_y_de_legumbres,azucar_mermelada_miel_chocolate_y_dulces_de_azucar,cafe_te_y_cacao,carne,frutas,leche_queso_y_huevos,legumbres_hortalizas,pan_y_cereales,pescado,productos_alimenticios_n_e_p
2006-01-01,60.91,51.33,62.47,55.45,48.95,61.03,63.57,66.73,72.88,50.38,57.44,60.35
2006-02-01,62.03,50.93,63.41,56.86,48.23,63.9,66.18,66.12,74.62,50.3,58.12,59.94
2006-03-01,63.1,51.28,63.43,58.43,49.08,64.41,69.87,66.05,77.43,50.69,59.3,60.96
2006-04-01,62.45,51.24,62.47,60.56,49.07,62.82,67.99,66.55,75.19,50.32,61.94,61.56
2006-05-01,61.91,51.36,62.4,64.1,49.06,62.92,66.12,67.07,70.09,50.52,63.21,61.78
2006-06-01,61.36,51.44,62.38,66.71,48.98,63.34,64.68,66.32,66.73,50.84,62.18,61.63
2006-07-01,61.24,51.38,62.72,66.85,48.31,63.3,65.3,66.35,65.88,50.76,61.36,61.0
2006-08-01,61.61,51.42,63.22,66.66,47.44,63.54,65.09,66.34,66.9,51.96,60.82,60.95
2006-09-01,62.21,51.09,63.11,65.88,48.41,63.78,63.83,66.91,68.77,53.8,60.78,61.88
2006-10-01,62.66,50.76,63.16,65.81,47.89,63.73,62.97,66.35,71.89,54.78,61.65,61.31
2006-11-01,63.08,51.35,63.45,65.87,47.8,64.55,63.82,66.73,73.12,54.42,60.96,61.7
2006-12-01,62.86,53.78,63.41,66.11,47.97,65.05,62.48,67.28,69.79,54.68,61.22,62.62
2007-01-01,63.1,53.96,63.49,65.87,48.02,65.48,65.13,66.97,69.12,54.63,61.58,62.24
2007-02-01,63.16,53.92,63.58,65.8,47.74,65.59,67.64,66.49,67.58,54.57,62.96,62.62
2007-03-01,63.39,54.48,63.88,65.15,48.09,65.03,67.85,66.81,66.5,55.75,65.58,63.97
2007-04-01,63.2,54.61,64.96,65.2,48.68,65.27,64.98,67.55,65.87,55.75,64.58,63.94
2007-05-01,62.93,54.47,64.88,65.14,49.39,65.46,63.49,67.34,65.48,55.71,63.45,64.01
2007-06-01,63.71,55.15,65.04,65.09,50.4,65.75,64.39,67.14,70.35,55.93,61.94,64.84
2007-07-01,64.53,56.19,64.99,65.17,50.64,67.04,66.1,67.96,71.33,56.92,60.17,64.7
2007-08-01,64.17,57.76,65.48,65.25,50.98,66.9,64.58,69.18,66.26,58.25,59.79,65.24
2007-09-01,64.65,59.22,66.09,65.62,51.68,66.96,65.75,68.99,66.59,59.74,59.17,64.74
2007-10-01,64.83,59.29,66.91,66.56,52.39,66.32,67.45,70.13,64.8,59.74,61.57,64.49
2007-11-01,65.53,60.8,67.0,65.93,53.0,66.11,69.1,71.36,64.34,61.3,63.59,64.35
2007-12-01,66.46,65.01,67.03,66.44,54.12,66.85,69.72,72.63,64.65,62.83,63.49,64.42
2008-01-01,67.95,67.64,68.1,65.83,54.52,69.62,71.39,72.47,66.95,64.05,64.02,66.05
2008-02-01,69.31,70.98,69.9,65.53,55.04,71.05,71.87,73.09,70.46,64.04,67.44,66.79
2008-03-01,71.82,78.45,70.27,65.8,55.12,72.1,73.3,76.11,76.14,66.64,69.32,68.31
2008-04-01,73.92,84.61,70.32,65.49,55.18,73.08,72.64,76.93,82.56,69.91,70.93,69.92
2008-05-01,75.57,85.7,70.03,65.33,55.62,75.99,69.01,76.84,87.29,74.21,69.13,70.52
2008-06-01,76.66,85.98,70.24,65.56,56.37,77.28,69.46,77.23,93.31,74.14,66.28,72.86
2008-07-01,77.24,85.99,70.38,68.71,59.11,75.7,70.81,77.95,92.21,77.96,66.11,73.39
2008-08-01,77.36,87.45,71.62,70.3,61.75,75.34,74.55,78.02,89.17,77.38,68.35,74.03
2008-09-01,77.9,86.87,70.95,69.71,63.0,75.87,79.8,78.39,88.52,76.53,70.68,74.98
2008-10-01,77.62,88.15,70.41,70.98,63.59,76.71,84.43,78.16,81.65,76.0,71.75,75.34
2008-11-01,76.82,86.3,70.87,70.6,63.73,76.71,81.59,78.41,78.1,75.23,73.45,76.11
2008-12-01,77.09,84.93,71.24,71.42,63.94,76.84,83.79,78.81,77.14,75.79,73.42,75.77
2009-01-01,78.09,83.96,73.57,71.72,64.4,78.53,83.73,78.74,81.14,75.58,73.67,77.43
2009-02-01,78.37,83.74,74.47,71.24,65.24,79.37,82.16,78.32,82.82,75.83,73.58,77.54
2009-03-01,79.73,83.78,74.52,71.66,64.96,80.95,81.23,78.41,86.63,77.77,76.83,77.39
2009-04-01,80.5,83.13,73.9,71.22,65.62,82.35,80.15,80.12,89.82,76.89,78.28,77.5
2009-05-01,80.21,82.57,74.82,71.09,66.94,82.47,79.91,79.11,89.53,76.43,77.04,79.28
2009-06-01,79.74,82.34,74.65,71.49,71.13,82.89,77.89,79.4,86.87,77.17,73.11,79.62
2009-07-01,79.47,81.61,75.3,70.52,72.15,83.1,79.8,78.46,83.71,76.71,75.5,80.21
2009-08-01,78.49,81.65,75.59,70.9,74.19,82.33,78.95,78.85,81.6,74.69,72.52,80.81
2009-09-01,78.5,80.87,75.76,70.68,78.29,81.71,78.31,79.66,81.94,75.22,70.92,81.73
2009-10-01,79.11,80.97,75.51,70.9,81.78,82.7,80.03,79.65,83.02,75.19,71.44,82.51
2009-11-01,79.41,79.1,75.33,70.89,84.8,82.67,81.68,80.34,83.62,74.92,72.06,82.77
2009-12-01,80.55,79.24,76.89,74.58,86.08,84.0,85.1,80.59,85.52,75.05,71.95,82.68
2010-01-01,81.94,80.17,78.33,77.34,85.46,84.17,90.54,80.24,89.64,74.28,75.92,85.15
2010-02-01,82.39,80.22,78.55,78.09,85.28,83.76,90.15,79.69,93.01,74.65,77.22,86.96
2010-03-01,82.77,79.88,78.89,80.71,85.57,83.46,91.25,79.8,91.71,75.97,79.85,86.73
2010-04-01,83.47,79.58,78.82,90.2,87.42,84.18,87.67,84.28,89.63,76.83,81.04,85.56
2010-05-01,83.33,80.28,78.89,89.89,87.3,84.56,85.76,85.99,89.22,76.3,78.53,85.22
2010-06-01,83.05,79.6,78.9,89.07,87.56,84.31,85.7,86.0,89.61,76.15,75.04,86.51
2010-07-01,82.93,80.11,79.01,91.8,87.6,85.26,86.35,86.09,87.53,75.5,73.26,86.84
2010-08-01,83.03,80.07,79.21,92.91,88.76,85.03,87.16,86.29,86.87,75.16,75.41,86.76
2010-09-01,82.9,80.28,79.1,93.78,87.0,84.1,85.76,86.39,87.02,76.57,74.06,86.74
2010-10-01,83.38,80.67,79.09,93.09,87.06,85.73,86.05,86.55,84.88,78.07,74.98,88.12
2010-11-01,84.06,81.92,79.18,92.13,86.68,85.51,89.0,86.97,85.56,78.75,77.19,87.83
2010-12-01,84.91,88.08,79.1,92.94,86.85,85.98,89.65,87.13,88.25,79.08,76.63,89.81
2011-01-01,85.94,89.17,79.21,96.47,86.22,86.01,88.26,86.58,93.06,80.83,78.88,89.14
2011-02-01,86.73,94.16,79.52,99.43,87.36,85.66,87.92,86.02,91.91,84.78,80.68,89.39
2011-03-01,87.21,99.72,79.83,98.05,88.19,85.56,89.31,86.11,92.31,84.28,83.73,90.19
2011-04-01,88.51,102.16,79.75,100.02,88.25,86.45,87.68,86.96,95.29,86.17,87.66,89.62
2011-05-01,89.13,102.32,79.76,100.12,88.54,87.08,84.8,87.54,98.76,87.34,86.93,90.93
2011-06-01,88.46,102.58,84.88,100.26,88.68,87.18,82.76,87.06,97.41,86.68,80.66,90.78
2011-07-01,88.48,103.23,85.82,101.17,87.76,88.07,82.8,86.78,97.15,85.74,80.29,91.44
2011-08-01,89.07,103.68,85.59,100.15,89.69,87.87,83.32,87.87,96.55,87.44,83.47,90.69
2011-09-01,90.01,103.66,85.71,101.2,89.41,88.85,86.11,88.93,98.35,87.08,84.72,90.64
2011-10-01,90.2,103.1,85.92,100.23,89.5,88.1,87.52,91.24,97.0,87.22,85.94,90.07
2011-11-01,90.85,103.39,85.91,100.73,89.19,88.7,90.56,91.75,96.32,86.65,90.69,91.53
2011-12-01,90.71,103.58,86.03,101.46,89.63,89.06,93.63,91.75,91.97,86.81,90.39,92.13
2012-01-01,91.14,103.56,89.37,102.12,89.95,88.48,94.76,91.48,92.87,87.68,90.4,93.18
2012-02-01,92.06,102.93,89.66,102.38,90.24,89.32,95.79,90.82,98.89,86.78,91.92,92.25
2012-03-01,94.32,101.82,90.0,102.56,90.44,91.46,96.52,92.47,103.57,89.05,98.32,93.72
2012-04-01,93.92,100.85,90.08,102.02,90.63,90.18,93.72,93.78,101.49,89.73,100.55,94.75
2012-05-01,93.09,100.33,90.52,101.41,93.49,90.68,90.92,93.49,98.13,90.37,94.56,98.74
2012-06-01,93.13,98.32,90.05,102.37,94.38,90.97,91.62,93.21,100.97,89.46,91.63,96.78
2012-07-01,93.43,99.94,89.91,101.68,95.02,90.92,94.99,92.55,105.14,88.7,85.64,96.88
2012-08-01,93.85,100.63,90.81,100.76,94.82,89.82,96.52,91.57,108.35,89.51,86.62,95.57
2012-09-01,95.68,101.93,90.97,102.4,94.97,89.39,101.01,93.18,113.35,91.07,89.31,95.55
2012-10-01,95.61,103.4,90.66,101.83,95.54,89.76,102.0,94.08,109.61,91.31,90.44,94.52
2012-11-01,95.79,103.13,90.67,101.03,95.81,90.09,102.61,93.75,107.36,92.07,95.04,94.35
2012-12-01,95.21,101.55,90.62,101.2,95.82,90.11,103.53,93.63,103.92,92.1,92.54,95.21
2013-01-01,95.74,101.13,91.21,102.85,95.91,89.37,108.74,94.06,101.56,93.01,95.71,95.56
2013-02-01,95.6,100.3,91.24,101.36,95.95,90.5,107.56,92.95,101.4,92.46,96.99,95.8
2013-03-01,96.34,100.16,91.31,101.36,94.35,91.53,107.81,93.63,100.49,93.94,100.83,96.27
2013-04-01,96.16,99.52,91.9,101.54,94.97,92.89,102.63,94.64,99.78,93.8,100.16,97.04
2013-05-01,95.29,99.62,93.69,102.12,95.94,92.2,95.47,94.51,99.2,95.4,94.6,97.49
2013-06-01,94.68,98.83,93.76,101.75,94.94,91.57,92.89,93.79,99.82,95.62,91.35,98.68
2013-07-01,94.17,98.29,94.07,101.65,94.7,91.37,92.22,93.61,97.74,94.76,92.46,99.23
2013-08-01,94.53,98.06,95.36,102.45,95.21,91.87,96.97,93.7,94.25,94.9,94.78,98.5
2013-09-01,95.01,98.19,95.53,100.89,94.61,92.49,100.89,94.99,92.61,94.56,95.93,99.45
2013-10-01,96.01,97.99,95.47,101.09,96.23,93.71,102.11,96.77,93.09,95.48,97.47,98.54
2013-11-01,96.74,98.2,95.56,100.66,96.01,95.38,102.89,98.09,94.25,94.91,98.15,98.31
2013-12-01,97.04,98.23,96.8,101.44,96.24,96.97,99.37,97.74,94.9,96.08,97.51,97.32
2014-01-01,98.67,98.58,98.41,101.39,96.05,99.24,101.53,97.86,98.55,95.99,102.51,97.81
2014-02-01,98.3,99.01,99.66,100.6,96.51,99.02,100.46,97.32,96.55,96.38,102.62,97.57
2014-03-01,99.78,98.96,99.62,100.92,95.23,100.38,102.32,97.49,100.9,96.64,107.95,98.26
2014-04-01,100.34,98.71,99.6,101.87,95.7,100.42,99.95,99.14,103.2,96.58,111.17,98.76
2014-05-01,99.4,99.82,99.62,101.01,95.83,100.39,93.26,99.49,103.57,95.6,107.81,98.38
2014-06-01,98.97,100.01,100.07,100.8,95.96,99.9,92.25,99.69,102.53,95.83,104.7,99.18
2014-07-01,99.65,100.29,100.18,100.68,95.8,100.92,96.44,99.19,103.51,96.29,103.11,98.91
2014-08-01,100.39,101.05,100.07,101.0,95.87,101.86,98.86,99.6,103.56,97.63,102.07,98.92
2014-09-01,100.41,100.75,100.2,100.46,95.71,101.83,97.34,99.91,104.3,97.65,102.46,100.65
2014-10-01,100.66,100.83,100.89,100.35,95.93,102.67,97.27,100.37,102.76,98.19,103.94,99.04
2014-11-01,101.24,101.05,101.62,100.26,95.56,103.77,99.9,100.13,103.51,97.73,104.71,99.76
2014-12-01,101.37,101.54,102.34,100.56,96.34,104.11,100.12,99.96,102.76,98.18,104.54,101.04
2015-01-01,101.8184769,101.47,103.0,100.18,93.49,105.12,104.99,100.59,101.9,96.61,105.17,101.32
2015-02-01,102.244751,100.92,103.3,100.08,94.57,105.56,102.49,101.1,102.79,98.93,104.73,100.57
2015-03-01,102.7248252,100.16,103.3,100.09,95.22,105.81,104.49,100.57,103.49,100.33,104.56,101.64
2015-04-01,104.4020077,99.86,104.19,100.43,95.05,106.16,106.22,100.82,111.84,101.18,107.06,102.69
2015-05-01,104.6372901,101.47,105.1,100.42,94.84,107.14,101.92,100.71,112.88,102.17,107.44,103.41
2015-06-01,105.0750702,101.69,105.73,100.58,95.42,107.81,100.44,101.38,112.95,103.63,107.27,103.53
2015-07-01,104.7614601,101.83,105.8,100.54,94.36,107.53,99.33,101.1,111.78,104.32,105.76,103.28
2015-08-01,104.807107,101.43,106.25,100.11,101.04,107.0,100.09,101.1,112.42,103.53,105.9,105.79
2015-09-01,104.9633179,99.64,105.75,100.24,101.03,106.77,100.11,101.32,113.16,104.57,105.8,105.76
2015-10-01,104.5574829,99.38,106.99,100.32,101.7,105.28,100.76,100.9,110.81,105.18,104.46,106.46
2015-11-01,104.604745,99.86,107.43,100.13,102.86,104.52,102.35,100.69,112.16,105.13,102.82,104.27
2015-12-01,105.0615756,101.17,107.94,99.7,101.75,105.61,104.0,100.76,111.31,105.6,102.43,106.94
2016-01-01,105.2327568,101.27,105.07,99.02,102.24,106.52,107.34,100.83,111.37,105.01,103.28,107.86
2016-02-01,106.0197161,101.2,109.33,99.21,100.94,107.04,107.25,100.99,111.36,105.88,102.43,115.46
2016-03-01,106.6931105,101.46,109.59,98.6,104.15,106.79,109.0,101.68,113.6,106.0,106.43,109.74
2016-04-01,107.3596904,100.16,109.59,100.12,104.66,106.13,107.05,101.56,119.56,106.09,110.48,110.71
2016-05-01,107.5417359,100.03,112.33,100.71,105.86,105.95,102.59,101.8,122.21,106.61,108.02,112.14
2016-06-01,108.0756938,100.29,119.92,101.73,107.75,105.22,101.54,102.33,121.8,106.07,108.3,111.71
2016-07-01,107.7752678,101.31,120.78,101.44,107.81,105.19,101.49,102.2,117.79,106.44,108.64,112.74
2016-08-01,107.2335224,99.49,121.43,101.46,107.24,104.75,101.62,102.21,113.88,106.83,108.17,110.04
2016-09-01,106.8784572,100.35,122.25,102.93,107.95,103.82,103.45,102.36,109.56,106.33,109.36,109.85
2016-10-01,106.2760325,98.19,121.79,103.14,108.13,103.03,104.37,102.81,105.73,105.94,108.47,113.67
2016-11-01,105.9850914,99.11,120.99,101.99,107.08,103.52,107.74,101.42,103.57,105.78,108.73,107.87
2016-12-01,106.2740173,97.44,120.17,102.61,103.07,103.98,110.46,103.03,103.74,104.84,107.77,109.57
2017-01-01,106.7952534,96.01,121.12,100.36,101.78,103.35,109.05,102.28,109.81,105.66,108.28,112.13
2017-02-01,107.2963361,95.53,121.85,102.56,107.68,102.82,107.35,101.98,112.97,106.81,108.34,113.36
2017-03-01,108.0619092,97.36,121.4,102.2,110.26,102.88,106.99,100.35,120.86,105.89,109.6,122.38
2017-04-01,109.3309712,98.63,121.37,103.33,107.91,103.93,103.99,102.81,127.7,105.42,111.95,124.57
2017-05-01,108.5639086,99.32,116.99,102.59,108.35,103.22,101.61,102.22,130.88,105.12,109.06,123.33
2017-06-01,108.2146367,98.24,113.53,100.88,108.9,103.32,100.73,102.88,132.98,104.39,109.3,119.16
2017-07-01,107.4248046,99.82,114.59,99.97,108.31,103.59,104.52,101.92,125.5,103.35,108.72,116.03
2017-08-01,107.5003022,100.05,113.09,100.87,109.1,103.58,110.08,101.96,122.39,103.93,107.13,116.05
2017-09-01,106.7521489,100.19,113.47,100.17,109.03,102.73,113.81,103.06,114.48,102.8,108.5,113.27
2017-10-01,106.2531201,100.21,113.19,102.3,108.15,103.54,111.15,103.3,111.41,102.21,108.32,112.69
2017-11-01,105.5276032,99.13,116.34,100.68,107.66,101.83,108.55,102.26,111.17,101.03,109.17,112.42
2017-12-01,106.0246456,98.32,120.95,101.35,105.8,102.71,106.83,101.67,111.25,101.68,109.12,112.84
2018-01-01,106.1050851,98.18,120.44,100.53,103.51,102.85,107.68,100.95,112.73,101.35,110.42,113.03
2018-02-01,106.481021,99.05,120.37,100.24,105.5,103.75,108.65,102.54,112.28,100.31,110.33,116.81
2018-03-01,107.103619,98.71,120.99,100.45,106.77,103.88,108.88,102.76,113.32,101.61,111.39,119.68
